1451,1747
1485,1735
1515,1711
1551,1680
1562,1640
1557,1604
1551,1575
1576,1555
1577,1536
1566,1521
1557,1474
1562,1448
1580,1414
1585,1395
1582,1382
1588,1356
1569,1358
1553,1359
1527,1357
1517,1358
1525,1363
1528,1374
1520,1367
1498,1391
1501,1412
1479,1434
1469,1448
1461,1462
1474,1463
1454,1455
1447,1460
1432,1465
1418,1461
1412,1457
1399,1452
1366,1446
1342,1432
1342,1431
1344,1427
1339,1418
1350,1386
1369,1378
1378,1352
1384,1334
1375,1330
1380,1322
1368,1322
1336,1312
1314,1313
1310,1310
1270,1314
1257,1331
1242,1336
1218,1318
1227,1304
1243,1291
1285,1270
1283,1249
1323,1226
1328,1217
1338,1204
1382,1185
1414,1160
1441,1138
1467,1107
1483,1082
1500,1075
1529,1061
1535,1047
1571,1053
1586,1064
1600,1065
1613,1073
1612,1095
1605,1119
1612,1133
1610,1151
1607,1176
1586,1202
1576,1228
1542,1264
1530,1295
1527,1299
1543,1290
1546,1302
1561,1288
1555,1308
1546,1313
1544,1315
1507,1312
1475,1330
1442,1337
1450,1340
1417,1351
1385,1364
1388,1364
1371,1341
1367,1321
1340,1318
1329,1306
1328,1283
1344,1264
1333,1213
1341,1196
1368,1160
1369,1122
1405,1074
1411,1045
1433,1033
1474,983
1502,955
1523,933
1539,921
1555,910
1571,901
1573,903
1584,891
1589,882
1608,906
1612,921
1646,951
1658,948
1658,963
1659,966
1706,990
1772,999
1767,1018
1805,1040
1843,1051
1878,1066
1892,1089
1884,1123
1904,1178
1900,1222
1929,1257
1939,1294
1920,1349
1897,1408
1864,1457
1873,1511
1851,1551
1880,1564
1888,1569
1909,1593
1905,1605
1931,1597
1950,1609
1943,1630
1968,1643
1992,1655
1971,1649
1953,1657
1939,1660
1892,1689
1842,1707
1798,1737
1696,1796
1668,1828
1576,1879
1508,1895
1417,1944
1311,1980
1221,1986
1160,1996
1095,2006
1015,2003
965,1988
920,1977
864,1928
816,1882
800,1826
777,1755
757,1699
718,1616
712,1532
738,1452
746,1357
758,1283
788,1179
824,1081
834,1017
849,943
905,874
952,814
986,739
1036,709
1105,662
1173,618
1221,607
1236,601
1273,593
1305,604
1324,622
1374,632
1426,637
1479,655
1527,675
1581,719
1579,743
1611,782
1617,838
1612,885
1620,916
1616,958
1621,1000
1616,1064
1588,1123
1580,1176
1564,1223
1555,1280
1501,1344
1433,1381
1390,1425
1348,1462
1303,1471
1312,1477
1333,1468
1291,1458
1294,1442
1280,1423
1270,1402
1271,1368
1257,1347
1249,1321
1240,1285
1218,1258
1145,1250
1142,1225
1115,1199
1085,1179
1063,1156
1026,1137
1043,1115
1050,1100
1017,1091
1016,1062
1009,1045
999,1037
1004,1020
1013,981
1010,980
1018,981
1038,981
1028,977
1031,973
1060,986
1080,968
1091,948
1095,942
1128,933
1159,935
1169,936
1178,923
1207,911
1250,915
1288,907
1312,890
1345,884
1390,874
1422,878
1441,877
1459,887
1506,890
1533,900
1562,908
1554,920
1608,931
1640,945
1672,955
1691,971
1747,973
1777,1002
1796,1020
1804,1037
1844,1034
1873,1054
1899,1080
1921,1115
1947,1141
1950,1185
1914,1249
1865,1323
1808,1366
1780,1437
1726,1490
1690,1529
1634,1579
1620,1605
1606,1617
1589,1642
1577,1652
1582,1669
1566,1669
1541,1681
1547,1674
1525,1637
1464,1628
1416,1635
1408,1617
1373,1606
1304,1622
1257,1605
1216,1594
1189,1573
1119,1565
1089,1546
1068,1533
1037,1517
1005,1473
976,1457
953,1448
919,1434
918,1383
901,1347
893,1322
888,1273
883,1233
909,1194
919,1146
901,1096
924,1056
964,1006
964,945
981,925
991,888
1029,854
1040,847
1069,836
1108,809
1156,777
1171,778
1204,759
1251,745
1277,746
1282,766
1305,771
1329,791
1329,801
1345,807
1374,833
1391,869
1403,892
1364,923
1388,955
1397,977
1352,992
1376,1009
1399,1027
1422,1041
1406,1053
1405,1072
1425,1089
1413,1109
1398,1123
1402,1134
1388,1157
1376,1178
1362,1186
1341,1210
1319,1209
1330,1212
1321,1221
1335,1229
1353,1238
1378,1231
1386,1230
1391,1250
1416,1254
1419,1231
1416,1238
1395,1241
1414,1216
1423,1209
1430,1188
1418,1186
1449,1187
1446,1171
1443,1186
1424,1199
1396,1194
1406,1210
1385,1237
1362,1257
1328,1277
1291,1284
1248,1304
1238,1296
1217,1301
1193,1303
1148,1302
1170,1286
1194,1275
1193,1265
1192,1245
1241,1237
1260,1218
1261,1201
1277,1182
1297,1147
1282,1146
1279,1140
1293,1125
1301,1101
1313,1094
1341,1080
1369,1078
1404,1083
1411,1071
1449,1068
1469,1083
1506,1105
1548,1099
1573,1109
1578,1099
1617,1107
1616,1117
1586,1148
1587,1174
1565,1203
1535,1227
1513,1257
1511,1295
1509,1314
1501,1321
1467,1324
1479,1337
1492,1345
1488,1378
1476,1385
1477,1383
1455,1380
1444,1391
1439,1371
1452,1365
1445,1351
1440,1330
1457,1308
1440,1294
1424,1279
1450,1278
1453,1249
1433,1265
1455,1257
1438,1263
1413,1294
1391,1311
1375,1308
1385,1312
1394,1306
1379,1305
1396,1304
1417,1287
1412,1278
1438,1250
1440,1254
1456,1239
1487,1224
1520,1214
1549,1205
1561,1195
1554,1201
1556,1202
